Version,Category,Question,Answer,Retrieval_Relevance,Answer_Relevance,Faithfulness
V1,Fees & Scholarships,Does SEAT support scholarships or fee reimbursement?,The provided material mentions scholarship and fee reimbursement support for eligible students. Exact eligibility and scheme details should be verified directly with the institution.,0.85,0.9,1.0
V1,Facilities & Labs,What library facilities are available at SEAT?,"SEAT reports a central library with 30,000+ books, 60+ online journals, 56+ Indian print journals, digital learning resources, OPAC, and seating for approximately 500 students.",0.85,0.9,1.0
V2,Location & Transport,Where is SEAT located?,"SEAT is located at Gollapalli Road, Chintagunta Village, Near C. Gollapalli, Tirupati (Rural), Andhra Pradesh – 517505.",0.85,0.0,1.0
V2,Location & Transport,Does SEAT provide transport facilities for students?,"Yes. The institution reportedly operates transport services with 9 buses, including 8 buses from Tirupati and 1 bus from Srikalahasti.",0.85,0.9,1.0
V2,Placements,What placement packages are reported at SEAT?,The reported highest package is ₹30 LPA for a CSE student batch. The reported median salary package is ₹3.75 LPA for undergraduate students and ₹3.15 LPA for postgraduate students. The average package was not available in the provided material.,0.85,0.9,1.0
V2,Placements,Does SEAT provide placement support for students?,Yes. SEAT reports a Training and Placement (TAP) Cell for placement-related activities and student training.,0.85,0.9,1.0
V2,Academics & Exams,Is SEAT an autonomous college?,Yes. The provided material indicates that SEAT received autonomous status from 2025.,0.85,0.9,1.0
V2,Hostel & Student Life,Does SEAT provide hostel facilities for students?,"Yes. SEAT reports separate hostel facilities for boys and girls students. The boys hostel has an approximate capacity of 300 students and is reportedly located within the campus, while the girls hostel has an approximate capacity of 246 students and is reportedly located outside the campus.",0.85,1.0,1.0
V2,Fees & Scholarships,Does SEAT support scholarships or fee reimbursement?,The provided material mentions scholarship and fee reimbursement support for eligible students. Exact eligibility and scheme details should be verified directly with the institution.,0.85,0.9,1.0
V2,Facilities & Labs,What library facilities are available at SEAT?,"SEAT reports a central library with 30,000+ books, 60+ online journals, 56+ Indian print journals, digital learning resources, OPAC, and seating for approximately 500 students.",0.85,0.9,1.0
V3,Location & Transport,Where is SEAT located?,SEAT is located. The location of SEAT is Gollapalli Road. The location of SEAT is in Chintagunta Village. The location of SEAT is near C. Gollapalli. The location of SEAT is in Tirupati (Rural). The location of SEAT is in Andhra Pradesh. The postal code of the location is 517505.,0.85,0.8,1.0
V3,Location & Transport,Does SEAT provide transport facilities for students?,The institution operates transport services. The institution operates transport services with 9 buses. The institution operates 8 buses from Tirupati. The institution operates 1 bus from Srikalahasti.,0.85,0.8,1.0
V3,Placements,What placement packages are reported at SEAT?,The reported highest package is ₹30 LPA for a CSE student batch. The reported median salary package is ₹3.75 LPA for undergraduate students. The reported median salary package is ₹3.15 LPA for postgraduate students. The average package was not available in the provided material.,0.85,0.9,1.0
V3,Placements,Does SEAT provide placement support for students?,SEAT has a Training and Placement (TAP) Cell. The TAP Cell is responsible for placement-related activities. The TAP Cell is responsible for student training.,0.85,0.8,1.0
V3,Academics & Exams,Is SEAT an autonomous college?,The response is affirmative.,0.85,0.8,1.0
V3,Hostel & Student Life,Does SEAT provide hostel facilities for students?,SEAT reports separate hostel facilities for boys and girls students. The boys hostel has an approximate capacity of 300 students. The boys hostel is reportedly located within the campus. The girls hostel has an approximate capacity of 246 students. The girls hostel is reportedly located outside the campus.,0.85,1.0,1.0
V3,Fees & Scholarships,Does SEAT support scholarships or fee reimbursement?,The provided material mentions scholarship support for eligible students. The provided material mentions fee reimbursement support for eligible students. Eligibility for the mentioned support should be verified directly with the institution. Scheme details for the mentioned support should be verified directly with the institution.,0.85,0.8,1.0
V3,Facilities & Labs,What library facilities are available at SEAT?,"SEAT has a central library. The central library at SEAT has more than 30,000 books. The central library at SEAT has more than 60 online journals. The central library at SEAT has more than 56 Indian print journals. The central library at SEAT offers digital learning resources. The central library at SEAT has an OPAC (Online Public Access Catalog). The central library at SEAT has seating for approximately 500 students.",0.85,0.9,1.0
V4,Location & Transport,Where is SEAT located?,SEAT is located. The location of SEAT is Gollapalli Road. The location of SEAT is in Chintagunta Village. The location of SEAT is near C. Gollapalli. The location of SEAT is in Tirupati (Rural). The location of SEAT is in Andhra Pradesh. The postal code of the location is 517505.,0.6349312041089237,0.8,1.0
V4,Location & Transport,Does SEAT provide transport facilities for students?,The institution operates transport services. The institution operates transport services with 9 buses. The institution operates 8 buses from Tirupati. The institution operates 1 bus from Srikalahasti.,0.713664451316205,0.8,1.0
V4,Placements,What placement packages are reported at SEAT?,The reported highest package is ₹30 LPA for a CSE student batch. The reported median salary package is ₹3.75 LPA for undergraduate students. The reported median salary package is ₹3.15 LPA for postgraduate students. The average package was not available in the provided material.,0.6817267098837492,0.9,1.0
V4,Placements,Does SEAT provide placement support for students?,SEAT has a Training and Placement (TAP) Cell. The TAP Cell is responsible for placement-related activities. The TAP Cell is responsible for student training.,0.7015454067577671,0.8,1.0
V4,Academics & Exams,Is SEAT an autonomous college?,The response is affirmative.,0.6020347886452562,0.8,1.0
V4,Hostel & Student Life,Does SEAT provide hostel facilities for students?,SEAT reports separate hostel facilities for boys and girls students. The boys hostel has an approximate capacity of 300 students. The boys hostel is reportedly located within the campus. The girls hostel has an approximate capacity of 246 students. The girls hostel is reportedly located outside the campus.,0.7015389726346333,0.9,1.0
V4,Fees & Scholarships,Does SEAT support scholarships or fee reimbursement?,The provided material mentions scholarship support for eligible students. The provided material mentions fee reimbursement support for eligible students. Eligibility for the mentioned support should be verified directly with the institution. Scheme details for the mentioned support should be verified directly with the institution.,0.6545231046159301,0.8,1.0
V4,Facilities & Labs,What library facilities are available at SEAT?,"SEAT has a central library. The central library at SEAT has more than 30,000 books. The central library at SEAT has more than 60 online journals. The central library at SEAT has more than 56 Indian print journals. The central library at SEAT offers digital learning resources. The central library at SEAT has an OPAC (Online Public Access Catalog). The central library at SEAT has seating for approximately 500 students.",0.5908491016299471,0.9,1.0
V5,Location & Transport,Where is SEAT located?,SEAT is located. The location of SEAT is Gollapalli Road. The location of SEAT is in Chintagunta Village. The location of SEAT is near C. Gollapalli. The location of SEAT is in Tirupati (Rural). The location of SEAT is in Andhra Pradesh. The postal code of the location is 517505.,0.6349312041089237,0.8,1.0
V5,Location & Transport,Does SEAT provide transport facilities for students?,The institution operates transport services. The institution operates transport services with 9 buses. The institution operates 8 buses from Tirupati. The institution operates 1 bus from Srikalahasti.,0.713664451316205,0.8,1.0
V5,Placements,What placement packages are reported at SEAT?,"For '- What placement packages are reported': The reported highest package is ₹30 LPA for a CSE student batch. The reported median salary package is ₹3.75 LPA for undergraduate students. The reported median salary package is ₹3.15 LPA for postgraduate students.
For '- At SEAT': Information not found",0.7825127971616669,0.5,1.0
V5,Placements,Does SEAT provide placement support for students?,SEAT has a Training and Placement (TAP) Cell. The TAP Cell is responsible for placement-related activities. The TAP Cell is responsible for student training.,0.7015454067577671,0.8,1.0
V5,Academics & Exams,Is SEAT an autonomous college?,The response is affirmative.,0.6020347886452562,0.8,1.0
V5,Hostel & Student Life,Does SEAT provide hostel facilities for students?,SEAT reports separate hostel facilities for boys and girls students. The boys hostel has an approximate capacity of 300 students. The boys hostel is reportedly located within the campus. The girls hostel has an approximate capacity of 246 students. The girls hostel is reportedly located outside the campus.,0.7015389726346333,0.9,1.0
V5,Fees & Scholarships,Does SEAT support scholarships or fee reimbursement?,"For '- Does SEAT support scholarships?': The provided material exists. The provided material mentions scholarship support. The provided material mentions fee reimbursement support. Eligible students are mentioned in the provided material.
For '- Does SEAT offer fee reimbursement?': The provided material exists. The material mentions fee reimbursement support. Eligible students are mentioned in the material. Fee reimbursement support is mentioned for eligible students.",0.7977469217639259,0.8,1.0
V5,Facilities & Labs,What library facilities are available at SEAT?,"SEAT has a central library. The central library at SEAT has more than 30,000 books. The central library at SEAT has more than 60 online journals. The central library at SEAT has more than 56 Indian print journals. The central library at SEAT offers digital learning resources. The central library at SEAT has an OPAC (Online Public Access Catalog). The central library at SEAT has seating for approximately 500 students.",0.5908491016299471,0.9,1.0
